track_name,artist_name,total_minutes,play_count,skips,completions,first_play,last_play,skip_rate
Maine Royaan,Tanveer Evan,3.413883333333333,1,1,0,2025-04-06,2025-04-06,100.0
Haye Dil,Jimmy Khan,3.3743333333333334,1,1,0,2025-08-09,2025-08-09,100.0
I Like Me Better,Lauv,3.3742833333333335,4,3,1,2025-02-07,2025-09-11,75.0
Iktara - Male Version,Amit Trivedi,3.342966666666667,1,1,0,2025-08-29,2025-08-29,100.0
Gulabi Aankhen,Sanam,3.31255,2,1,1,2025-06-11,2025-07-08,50.0
Rahmatun Lil'Alameen,Maher Zain,3.3000166666666666,2,1,1,2025-03-21,2025-07-12,50.0
Bheegi Si Bhaagi Si,Pritam,3.2904333333333335,1,0,1,2025-05-26,2025-05-26,0.0
Chokra Jawaan,Amit Trivedi,3.2776,1,1,0,2025-08-04,2025-08-04,100.0
Nasamajh,Aditya Rikhari,3.2705333333333333,2,2,0,2025-03-08,2025-03-30,100.0
Paon Ki Jutti,Jyoti Nooran,3.2607833333333334,1,1,0,2025-02-26,2025-02-26,100.0
No One Noticed,The Marías,3.2021166666666665,4,2,2,2025-04-20,2025-09-01,50.0
Chan Mahi,Abdullah Qureshi,3.201,1,1,0,2025-09-15,2025-09-15,100.0
Kun Faya Kun,A.R. Rahman,3.1371166666666666,2,1,1,2025-07-29,2025-10-27,50.0
Mehrama,Pritam,3.111283333333333,1,1,0,2025-04-01,2025-04-01,100.0
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,3.1039333333333334,2,1,1,2025-08-20,2025-10-27,50.0
Let Me,ZAYN,3.08955,1,0,1,2025-08-20,2025-08-20,0.0
Rog,Falak Shabbir,3.0772333333333335,1,1,0,2025-11-09,2025-11-09,100.0
Those Eyes,New West,3.0478666666666667,4,4,0,2025-01-24,2025-08-06,100.0
Sajni,Strings,2.9537166666666668,3,2,1,2025-04-05,2025-10-27,66.67
"Phoolon Ka Taaro Ka (From ""Jigra"")",Vedang Raina,2.9345499999999998,3,2,1,2025-02-07,2025-04-11,66.67
Mulakaat,Mitraz,2.933533333333333,2,2,0,2025-04-12,2025-09-23,100.0
Meri Banogi Kya,Rito Riba,2.8924166666666666,2,1,1,2025-04-14,2025-05-24,50.0
"Aasa Kooda - From ""Think Indie""",Sai Abhyankkar,2.8911166666666666,1,1,0,2025-11-05,2025-11-05,100.0
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2.890633333333333,2,2,0,2025-10-26,2025-10-27,100.0
Dua for Anxiety Relief,The Holy Quran,2.8613999999999997,2,1,1,2025-07-12,2025-10-31,50.0
Black Friday,Tom Odell,2.8573333333333335,1,0,1,2025-10-31,2025-10-31,0.0
Akhiyaan,Mitraz,2.7671,2,2,0,2025-04-12,2025-04-12,100.0
Pal Pal,Afusic,2.7648,3,1,2,2025-04-13,2025-10-26,33.33
Afreen Afreen,Nusrat Fateh Ali Khan,2.7598333333333334,1,1,0,2025-03-08,2025-03-08,100.0
Leja Leja,Sultan Khan,2.74425,1,1,0,2025-02-26,2025-02-26,100.0
Type Shit,Future,2.7286333333333332,1,1,0,2025-03-19,2025-03-19,100.0
Par Ab Jo Aayegi Tu,AUR,2.7247166666666667,4,2,2,2025-10-09,2025-10-24,50.0
Phir Le Aya Dil - Reprise,Pritam,2.6882333333333333,4,3,1,2025-02-02,2025-11-11,75.0
Surah Al-Qiyama,Sheikh Abdul Rahman Al Sudais,2.669,1,0,1,2025-08-23,2025-08-23,0.0
You’re Losing Me (From The Vault),Taylor Swift,2.6517333333333335,1,0,1,2025-11-15,2025-11-15,0.0
Surah Al-Mulk,Alshaikh Abdul Rahman Alsudais,2.6496,1,0,1,2025-08-23,2025-08-23,0.0
"Chal Diye Tum Kahan (From ""Kabhi Main Kabhi Tum"")",AUR,2.6270333333333333,1,1,0,2025-10-27,2025-10-27,100.0
Chal Diye Tum Kahan,AUR,2.61775,1,0,1,2025-10-18,2025-10-18,0.0
Liggi,Ritviz,2.5861833333333335,1,1,0,2025-08-04,2025-08-04,100.0
Noor E Khuda,Shankar-Ehsaan-Loy,2.522466666666667,1,1,0,2025-04-05,2025-04-05,100.0
Hey There Delilah,Plain White T's,2.4693666666666667,3,3,0,2025-02-07,2025-04-03,100.0
we can't be friends (wait for your love),Ariana Grande,2.4691333333333336,2,1,1,2025-04-18,2025-11-08,50.0
Without Me,Halsey,2.46595,3,2,1,2025-02-07,2025-04-04,66.67
Boy's a liar Pt. 2,PinkPantheress,2.413333333333333,2,2,0,2025-06-05,2025-07-16,100.0
Laykin,Ali & Shjr,2.3939,2,2,0,2025-04-14,2025-04-26,100.0
Tareefan,QARAN,2.3907166666666666,1,0,1,2025-01-17,2025-01-17,0.0
Zehen,Mitraz,2.3682833333333333,2,2,0,2025-04-12,2025-09-10,100.0
The Life of a Showgirl (feat. Sabrina Carpenter),Taylor Swift,2.3651166666666668,1,1,0,2025-11-04,2025-11-04,100.0
Subha Hone Na De,Pritam,2.3325666666666667,1,1,0,2025-10-04,2025-10-04,100.0
Zara Zara Touch Me,Monali Thakur,2.27945,1,1,0,2025-09-09,2025-09-09,100.0
Doja,Central Cee,2.2693,3,2,1,2025-06-24,2025-10-04,66.67
Kya Mujhe Pyar Hai,Pritam,2.2635,1,1,0,2025-08-04,2025-08-04,100.0
"Ishq Nachaawe - From ""Kho Gaye Hum Kahan""",Karan Kanchan,2.25265,2,2,0,2025-01-24,2025-09-23,100.0
Out Of The Woods (Taylor's Version),Taylor Swift,2.2513666666666667,3,3,0,2025-09-24,2025-10-02,100.0
Faaslay,Abdul Hannan,2.2377,1,1,0,2025-10-06,2025-10-06,100.0
Dua for Bad Dreams,The Holy Quran,2.2333166666666666,1,0,1,2025-07-12,2025-07-12,0.0
Dua for Exam Success,The Holy Quran,2.1999833333333334,1,0,1,2025-07-12,2025-07-12,0.0
My Kind of Woman,Mac DeMarco,2.172766666666667,3,2,1,2025-08-13,2025-11-18,66.67
